使用注意事項,#genre#
尷尬緩衝區,
以免夜深亂叫,
來源來自互聯網,
測試軟體用,
無販賣免費用,
以下注意選台,
請善用設置區,https://siwazywcdn2.com:5278/cvguochanzipai/7A5pPaJb/index.m3u8
以便有良好體驗,https://cdn-bo2.mangguo-youku.com:5278/20220112/dyxPcSkB/index.m3u8#https://i.imgur.com/9cYJNpH.jpg
讀取慢請耐心,https://cdn-bo2.mangguo-youku.com:5278/20220111/FaySqgKN/index.m3u8
可以數字選台,https://cdn-bo2.mangguo-youku.com:5278/20220104/SRDEtVZH/index.m3u8
未成年請離開,https://cdn-bo2.mangguo-youku.com:5278/20211018/dD1JzESY/index.m3u8

台深夜直播,#genre#
驚艷台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
香蕉,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3台,http://15.204.105.50:25461/live-G2s9zK2n9m/xDtwVfWM8T/90.ts

歐美直播,#genre#
Pornstar,http://cdn.adultiptv.net/pornstar.m3u8
MILF,http://cdn.adultiptv.net/milf.m3u8
Big Dick,http://cdn.adultiptv.net/bigdick.m3u8
bigtits,http://cdn.adultiptv.net/bigtits.m3u8
Fetish,http://cdn.adultiptv.net/fetish.m3u8
Big Ass,http://cdn.adultiptv.net/bigass.m3u8
Interracial,http://cdn.adultiptv.net/interracial.m3u8
Latina,http://cdn.adultiptv.net/latina.m3u8
POV,http://cdn.adultiptv.net/pov.m3u8
Blowjob,http://cdn.adultiptv.net/blowjob.m3u8
Teen,http://cdn.adultiptv.net/teen.m3u8
Hardcore,http://cdn.adultiptv.net/hardcore.m3u8
Cuckol,http://cdn.adultiptv.net/cuckold.m3u8
Threesome,http://cdn.adultiptv.net/threesome.m3u8
Russian,http://cdn.adultiptv.net/russian.m3u8
Lesbian,http://cdn.adultiptv.net/lesbian.m3u8



麻豆電影,#genre#
補新01,https://u89ey.cdnedge.live/file/avple-images/hls/616f1059d8538c2d9f2164a0/playlist.m3u8
補新03,https://e2fa6.cdnedge.live/file/avple-images/hls/616f0fa5d8538c2d9f21649e/playlist.m3u8
補新04,https://1xp60.cdnedge.live/file/avple-images/hls/616d88f2a1a4d6090d670cf2/playlist.m3u8
補新06,https://je40u.cdnedge.live/file/avple-images/hls/616d883da1a4d6090d670cf0/playlist.m3u8
補新07,https://w9n76.cdnedge.live/file/avple-images/hls/616d87c6a1a4d6090d670cef/playlist.m3u8
補最新1,https://8bb88.cdnedge.live/file/avple-images/hls/616b08ddcd55b923abce18c7/playlist.m3u8
補最新2,https://je40u.cdnedge.live/file/avple-images/hls/616b0865cd55b923abce18c6/playlist.m3u8
補最新3,https://u89ey.cdnedge.live/file/avple-images/hls/616b0829cd55b923abce18c5/playlist.m3u8
補最新4,https://zo392.cdnedge.live/file/avple-images/hls/616aff06cd55b923abce18c4/playlist.m3u8
補最新5,https://zo392.cdnedge.live/file/avple-images/hls/616afec9cd55b923abce18c3/playlist.m3u8
補最新6,https://w9n76.cdnedge.live/file/avple-images/hls/616afebcdd99ba23b1d9f97f/playlist.m3u8
補最新7,https://8bb88.cdnedge.live/file/avple-images/hls/616afe52cd55b923abce18c2/playlist.m3u8
補最新8,https://w9n76.cdnedge.live/file/avple-images/hls/616a06d13bbafc7181324c82/playlist.m3u8
補最新9,https://w9n76.cdnedge.live/file/avple-images/hls/616a061d3bbafc7181324c81/playlist.m3u8
補最新10,https://1xp60.cdnedge.live/file/avple-images/hls/616a05e13bbafc7181324c80/playlist.m3u8
補最新11,https://1xp60.cdnedge.live/file/avple-images/hls/616a05693bbafc7181324c7f/playlist.m3u8
補最新13https://zo392.cdnedge.live/file/avple-images/hls/6168881582e0243986ca6ac4/playlist.m3u8
補最新12,https://10j99.cdnedge.live/file/avple-images/hls/6168888e82e0243986ca6ac5/playlist.m3u8
補最新14,https://u89ey.cdnedge.live/file/avple-images/hls/6168872582e0243986ca6ac2/playlist.m3u8
補最新15,https://8bb88.cdnedge.live/file/avple-images/hls/6168879d82e0243986ca6ac3/playlist.m3u8
補最新麻豆01,https://u89ey.cdnedge.live/file/avple-images/hls/616717a551121708a790a1ba/playlist.m3u8
補最新麻豆03,https://je40u.cdnedge.live/file/avple-images/hls/616716b551121708a790a1b8/playlist.m3u8
補最新麻豆05,https://zo392.cdnedge.live/file/avple-images/hls/6167158951121708a790a1b5/playlist.m3u8
補最新麻豆07,https://je40u.cdnedge.live/file/avple-images/hls/6165a771687fa15ce79fee7b/playlist.m3u8
補最新麻豆08,https://1xp60.cdnedge.live/file/avple-images/hls/6165a6f9687fa15ce79fee7a/playlist.m3u8
補最新麻豆09,https://je40u.cdnedge.live/file/avple-images/hls/61653e357c6c230632362c4e/playlist.m3u8
補最新麻豆10,https://10j99.cdnedge.live/file/avple-images/hls/61653d457c6c230632362c4c/playlist.m3u8
補最新麻豆11,https://w9n76.cdnedge.live/file/avple-images/hls/61653ccd7c6c230632362c4b/playlist.m3u8
補最新麻豆12,https://w9n76.cdnedge.live/file/avple-images/hls/61653c557c6c230632362c4a/playlist.m3u8
補最新麻豆13,https://8bb88.cdnedge.live/file/avple-images/hls/616503d97c6c230632362c49/playlist.m3u8
補最新麻豆14,https://8bb88.cdnedge.live/file/avple-images/hls/616316700916b129ad6ba178/playlist.m3u8
補最新麻豆16,https://u89ey.cdnedge.live/file/avple-images/hls/61630fed114a6a29b065cdec/playlist.m3u8
補最新麻豆18,https://8bb88.cdnedge.live/file/avple-images/hls/61630ec1114a6a29b065cdea/playlist.m3u8
補最新麻豆20,https://e2fa6.cdnedge.live/file/avple-images/hls/61628ff5c778383b6b882d06/playlist.m3u8
補最新麻豆21,https://zo392.cdnedge.live/file/avple-images/hls/61628f7ec778383b6b882d05/playlist.m3u8
補最新麻豆22,https://u89ey.cdnedge.live/file/avple-images/hls/61628e90c778383b6b882d04/playlist.m3u8
補最新麻豆23,https://10j99.cdnedge.live/file/avple-images/hls/61628da0c778383b6b882d03/playlist.m3u8
補最新麻豆24,https://u89ey.cdnedge.live/file/avple-images/hls/61628d27c778383b6b882d02/playlist.m3u8
補最新麻豆25,https://8bb88.cdnedge.live/file/avple-images/hls/61628cafc778383b6b882d01/playlist.m3u8
補最新麻豆26,https://w9n76.cdnedge.live/file/avple-images/hls/61628c37c778383b6b882d00/playlist.m3u8
補最新麻豆27,https://e2fa6.cdnedge.live/file/avple-images/hls/61628b46c778383b6b882cff/playlist.m3u8
補最新麻豆28,https://zo392.cdnedge.live/file/avple-images/hls/61628a91c778383b6b882cfe/playlist.m3u8
補最新麻豆29,https://8bb88.cdnedge.live/file/avple-images/hls/615db9866c85aa6afbe1e5fc/playlist.m3u8
補最新麻豆32,https://8bb88.cdnedge.live/file/avple-images/hls/615db7a86c85aa6afbe1e5f8/playlist.m3u8
補最新麻豆33,https://10j99.cdnedge.live/file/avple-images/hls/615db72d6c85aa6afbe1e5f7/playlist.m3u8
補最新麻豆35,https://1xp60.cdnedge.live/file/avple-images/hls/615c9db15753920a08945925/playlist.m3u8
補最新麻豆36,https://8bb88.cdnedge.live/file/avple-images/hls/615c9d395753920a08945924/playlist.m3u8
補最新麻豆39,https://10j99.cdnedge.live/file/avple-images/hls/615c9bd15753920a08945921/playlist.m3u8
補最新麻豆40,https://8bb88.cdnedge.live/file/avple-images/hls/615b239899d43c610b89a891/playlist.m3u8
補最新麻豆41,https://e2fa6.cdnedge.live/file/avple-images/hls/615b239899d43c610b89a890/playlist.m3u8
補最新麻豆43,https://e2fa6.cdnedge.live/file/avple-images/hls/615b239899d43c610b89a88e/playlist.m3u8
補最新麻豆44,https://1xp60.cdnedge.live/file/avple-images/hls/615b14a562da73610588de52/playlist.m3u8
補最新麻豆45,https://1xp60.cdnedge.live/file/avple-images/hls/615b10a962da73610588de4d/playlist.m3u8
補最新麻豆48,https://1xp60.cdnedge.live/file/avple-images/hls/615b121162da73610588de4f/playlist.m3u8
